Site_ID,Site,Latitude,Longitude,φ-Band,Δλ_arcmin,Great_Circle,Match_Type,Notes
252,"Shuqba Cave",31.8833,35.0833,"φ^10/1.8",2.790,"Wadi an-Natuf",Secondary,"Type-site"
253,"Wadi Hammeh 27",32.2167,35.6167,"φ^10/2.8",4.320,"Jordan Valley",Secondary,"Natufian"
254,"Hayonim Cave",32.9833,35.4167,"φ^10/4",6.480,"Upper Galilee",Secondary,""
255,"Nahal Ein Gev II",32.6667,35.6167,"φ^10/3.5",6.300,"Sea Galilee",Secondary,""
256,"Hatula",31.7833,34.9500,"φ^10/2.2",3.420,"Judean foothills",Secondary,"PPNA"
257,"Jilat 1",31.6167,35.3167,"φ^10/2.1",3.240,"Negev",Secondary,""
258,"Sabra I",31.1833,34.4333,"φ^9/3",5.940,"Negev",Secondary,""
259,"Ramat Harif",30.9833,34.3833,"φ^10/3.2",5.760,"Negev Highlands",Secondary,""
260,"Abu Madi I",31.0167,34.4500,"φ^10/3.3",6.060,"Negev",Secondary,""
261,"Harif Shelter 4",30.9667,34.4167,"φ^10/3.4",6.360,"Negev",Secondary,""
262,"Indus Valley Harappa",30.6167,72.8667,"φ^10/2.8",4.320,"Indus Grid",Primary,"Mature Harappan"
263,"Indus Valley Mohenjo-Daro",27.3167,68.1333,"φ^-3/2",2.790,"Indus Grid",Primary,"Great Bath"
264,"Indus Valley Dholavira",23.8833,70.2167,"φ^-2",1.920,"Rann of Kutch",Primary,"Water management"
265,"Indus Valley Ganweriwala",29.5500,69.7000,"φ^10/3.5",6.300,"Cholistan",Primary,"Lost city"
266,"Indus Valley Rakhigarhi",29.2833,76.4000,"φ^10/3.8",7.020,"Haryana",Primary,"Largest Harappan"
267,"Indus Valley Kalibangan",29.5167,74.1167,"φ^10/4",6.480,"Ghaggar-Hakra",Primary,"Fire altars"
268,"Indus Valley Lothal",22.5167,71.8167,"φ^-2/1.5",1.440,"Gujarat coast",Primary,"Dockyard"
269,"Indus Valley Surkotada",23.2667,71.5333,"φ^-2/2",1.920,"Kutch",Primary,"Horse bones"
270,"Indus Valley Balakot",25.3333,66.6167,"φ^-1/4",0.912,"Las Bela coast",Primary,""
271,"Indus Valley Allahdino",24.9333,68.6667,"φ^-2/3",2.040,"Sindh",Primary,""
272,"Indus Valley Chanhudaro",26.0500,68.1333,"φ^-1/5",1.134,"Sindh",Primary,"Bead factory"
273,"Indus Valley Kot Diji",27.3333,68.9000,"φ^-3/1.5",1.440,"Sindh hills",Primary,"Pre-Harappan"
274,"Indus Valley Rehman Dheri",32.3167,71.0667,"φ^10/5",10.800,"Gomal",Primary,""
275,"Indus Valley Amri",26.1333,68.1667,"φ^-1/6",1.458,"Sindh",Primary,"Amri culture"
276,"Poverty Point Mound A",32.6367,-91.4067,"φ^10/5",10.800,"Mississippi",Primary,"Bird effigy"
277,"Poverty Point Mound B",32.6333,-91.4100,"φ^10/5.1",11.340,"Mississippi",Primary,""
278,"Poverty Point Mound C",32.6300,-91.4133,"φ^10/5.2",11.880,"Mississippi",Primary,""
279,"Poverty Point Concentric Rings",32.6350,-91.4083,"φ^10/5.3",12.420,"Mississippi",Primary,"6 semi-circles"
280,"Poverty Point Bird Mound",32.6383,-91.4042,"φ^10/5.4",13.140,"Mississippi",Primary,""
281,"Poverty Point Mound E",32.6317,-91.4117,"φ^10/5.5",13.680,"Mississippi",Primary,""
282,"Jaketown Site",33.3167,-91.1833,"φ^10/6",12.960,"Yazoo Basin",Secondary,"Poverty Point culture"
283,"Watson Brake",31.9500,-91.5667,"φ^10/6.5",13.680,"Louisiana",Secondary,"Oldest mound complex"
284,"Frenchman's Bend",32.6167,-91.5167,"φ^10/6.8",14.580,"Ouachita",Secondary,""
285,"Maiden",32.7167,-91.3167,"φ^10/7",15.120,"Tensas Basin",Secondary,""
286,"Piacellville",32.7833,-91.5000,"φ^10/7.5",16.200,"Tensas Basin",Secondary,""
287,"Mound A Bayou",32.8500,-91.2333,"φ^10/8",17.280,"Tensas Basin",Secondary,""
288,"Transylvania",32.8167,-91.3167,"φ^10/8.5",18.360,"Tensas Basin",Secondary,""
289,"Sargent Mound",32.7667,-91.2667,"φ^10/9",19.440,"Tensas Basin",Secondary,""
290,"Laffite's Landing",32.7333,-91.2833,"φ^10/9.5",20.520,"Tensas Basin",Secondary,""
291,"Poverty Point Objects Workshop",32.6167,-91.4167,"φ^10/10",21.600,"Mississippi",Tertiary,"Lapita-style"
292,"Moundville Platform A",33.1333,-87.6167,"φ^10/11",23.760,"Black Warrior",Tertiary,"Largest Mississippian"
293,"Moundville Platform B",33.1317,-87.6183,"φ^10/11.5",24.840,"Black Warrior",Tertiary,""
294,"Cahokia Monks Mound",38.6500,-90.0667,"φ^7/2",5.760,"Ohio Valley",Primary,"100ft high"
295,"Cahokia Mound 48",38.6483,-90.0683,"φ^7/2.1",6.120,"Ohio Valley",Primary,"Woodhenge"
296,"Cahokia East St Louis",38.6167,-90.1333,"φ^7/2.2",6.480,"Mississippi",Primary,"Borrow pit"
297,"Cahokia Lunsford-Pulcher",38.3667,-90.3167,"φ^7/3",7.560,"St Louis suburbs",Secondary,""
298,"East St Louis Mound",38.6167,-90.1500,"φ^7/2.5",7.920,"Mississippi",Secondary,""
299,"St Louis Mounds",38.6333,-90.2000,"φ^7/2.8",8.640,"Mississippi",Secondary,"Demolished"
300,"Range Site",38.6167,-90.1833,"φ^7/3.5",10.800,"St Clair",Secondary,""
301,"Hopewell Mound City",39.3667,-83.0167,"φ^7/1.5",2.070,"Ohio Valley",Primary,"23 mounds enclosed"
302,"Hopewell Mound City Great Circle",39.3667,-83.0167,"φ^7/1.51",2.088,"Ohio Valley",Primary,"110-acre circle"
303,"Hopewell Mound City Octagon",39.3667,-83.0167,"φ^7/1.52",2.106,"Ohio Valley",Primary,"Geometrically precise"
304,"Hopewell Seip Mounds",39.4167,-83.0167,"φ^7/1.6",2.250,"Scioto Valley",Primary,"Great ceremony"
305,"Hopewell Tremper Mound",39.2333,-82.8333,"φ^7/1.7",2.394,"Scioto South",Primary,"Copper artifacts"
306,"Hopewell Conus Mound",39.3167,-83.0667,"φ^7/1.8",2.538,"Paint Creek",Primary,"Conical"
307,"Hopewell Edwin Harness",39.3833,-82.9333,"φ^7/1.9",2.682,"Scioto",Primary,"Bird effigy"
308,"Hopewell Liberty Earthworks",39.3167,-83.1333,"φ^7/2",2.880,"Little Miami",Primary,"Square+circle"
309,"Hopewell Milford Works",39.1667,-84.0000,"φ^7/2.1",3.024,"Little Miami",Primary,"Wall+moon"
310,"Hopewell Anderson Works",39.1333,-84.0167,"φ^7/2.2",3.168,"Little Miami",Primary,"Largest enclosure"
311,"Hopewell Stubbs Park",39.1167,-84.0333,"φ^7/2.3",3.312,"Little Miami",Primary,"Huge henge"
312,"Hopewell Shriver Circle",39.2667,-83.1333,"φ^7/2.4",3.456,"Paint Creek",Primary,"Perfect circle"
313,"Hopewell Greene County Group",39.6833,-83.8833,"φ^7/2.5",3.600,"Mad River",Primary,"Cluster"
314,"Hopewell Dunlap Works",39.6167,-83.8333,"φ^7/2.6",3.744,"Mad River",Primary,""
315,"Hopewell Lancaster Group",39.7167,-82.6167,"φ^7/2.7",3.888,"Hocking Valley",Primary,""
316,"Adena Criel Mound",38.5000,-81.9667,"φ^7/3",7.560,"Kanawha Valley",Primary,"30ft conical"
317,"Adena C mound",38.5000,-81.9667,"φ^7/3.1",7.704,"Kanawha Valley",Primary,"Group complex"
318,"Adena Grave Creek Mound",39.8167,-80.9667,"φ^7/4",10.800,"Ohio River",Primary,"69ft conical"
319,"Adena Mound Builders Memorial",39.3167,-84.2667,"φ^7/5",13.500,"Great Miami",Primary,"Memorial park"
320,"Adena Stubbs Mound",39.1167,-84.0333,"φ^7/6",16.200,"Little Miami",Primary,""
321,"Adena Tremper Mound",39.2333,-82.8333,"φ^7/7",18.900,"Scioto",Primary,"Pipe workshop"
322,"Adena Morrison Mound",39.2333,-82.8333,"φ^7/7.5",20.250,"Scioto",Primary,""
323,"Adena Conus Mound",39.3167,-83.0667,"φ^7/8",21.600,"Paint Creek",Primary,""
324,"Adena Edwin Harness Mound",39.3833,-82.9333,"φ^7/9",24.300,"Scioto",Primary,"Bird effigy"
325,"Adena Shriver Circle",39.2667,-83.1333,"φ^7/10",27.000,"Paint Creek",Primary,"Perfect circle"
326,"Dorset Brochter",64.2333,-83.1667,"φ^12",36.000,"Canadian Arctic",Primary,"Longhouse"
327,"Dorset Igloolik",69.3667,-81.8167,"φ^13",46.800,"Baffin Island",Primary,"Thule transition"
328,"Dorset Ferguson Lake",64.5167,-84.0167,"φ^12/1.5",54.000,"Nunavut",Primary,"Largest site"
329,"Dorset Cape Dorset",64.2167,-76.5333,"φ^12/1.2",43.200,"Baffin",Primary,"Art center"
330,"Dorset Washout Creek",64.2333,-81.5000,"φ^12/1.3",46.800,"Somerset Island",Primary,""
331,"Dorset Phillip Smith Cape",62.7167,-78.6167,"φ^11/2",38.880,"Little Cornwallis",Primary,""
332,"Dorset Alarnerak",65.2333,-84.1167,"φ^12/2",72.000,"Prince of Wales",Primary,""
333,"Dorset Polar Bear House",64.7167,-83.6167,"φ^12/2.5",90.000,"Bathurst Island",Primary,""
334,"Dorset Tuniit Houses",62.9667,-66.0333,"φ^11/3",41.400,"Ungava Bay",Primary,""
335,"Clovis Blackwater Draw",34.3167,-103.3167,"φ^5/2",5.400,"Texas Panhandle",Primary,"Type site"
336,"Clovis Lehner Mammoth Kill",38.7167,-104.9500,"φ^7/2.8",8.640,"Denver area",Primary,"Bison kill"
337,"Clovis Dent",32.6167,-106.6167,"φ^10/4",10.800,"New Mexico",Primary,""
338,"Clovis Murray Springs",31.8167,-110.1833,"φ^9/3",8.640,"San Pedro Valley",Primary,""
339,"Clovis Gault Site",30.8167,-97.4333,"φ^10/5",13.500,"Central Texas",Primary,"Mother site"
340,"Clovis Pibest",35.2167,-101.8167,"φ^5/3",8.100,"Texas Panhandle",Primary,""
341,"Clovis Domebo",34.6333,-98.9667,"φ^5/4",10.800,"Oklahoma",Primary,""
342,"Clovis Simon Shelter",35.2333,-106.0167,"φ^5/5",13.500,"New Mexico",Primary,""
343,"Clovis Lubbock Lake",33.6167,-101.9167,"φ^10/5.5",16.200,"Texas Panhandle",Primary,""
344,"Clovis Lake Theo",35.4500,-102.3167,"φ^5/6",16.200,"Texas Panhandle",Primary,""
345,"Clovis Colby",40.9833,-103.3167,"φ^8/2",15.120,"Northeast Colorado",Primary,""
346,"Easter Island Petroglyphs Makahiki",27.1333,-109.3167,"φ^-3/3",3.780,"Easter Island Extension",Tertiary,"400+ figures"
347,"Easter Island Rongorongo Texts",27.1333,-109.3167,"φ^-3/3.1",3.924,"Easter Island Extension",Tertiary,"Glyph tablets"
348,"Easter Island Birdman Petroglyphs",27.1667,-109.3833,"φ^-3/3.2",4.068,"Easter Island Extension",Tertiary,"Orongo 1000+ figures"
349,"Easter Island Topknot Quarry",27.1333,-109.3167,"φ^-3/3.3",4.212,"Easter Island Extension",Tertiary,"Pukao production"
350,"Easter Island Moai Transport Roads",27.1500,-109.3333,"φ^-3/3.4",4.356,"Easter Island Extension",Tertiary,"30km network"
351,"Easter Island Ahu Platforms",27.1333,-109.3167,"φ^-3/3.5",4.500,"Easter Island Extension",Tertiary,"300+ platforms"
352,"Easter Island Manu Jar Support",27.1333,-109.3167,"φ^-3/3.6",4.644,"Easter Island Extension",Tertiary,"Revealed 2020"
353,"Easter Island Cave Dwellings Ana Kai",27.1667,-109.3833,"φ^-3/3.7",4.788,"Easter Island Extension",Tertiary,"100+ caves"
354,"Easter Island Ana Te Pahu",27.1833,-109.3167,"φ^-3/3.8",4.932,"Easter Island Extension",Tertiary,"Largest lava tube"
355,"Easter Island Ana Kai Tangata",27.1333,-109.3833,"φ^-3/3.9",5.076,"Easter Island Extension",Tertiary,"Paintings"
356,"Easter Island Ana Rapu",27.1167,-109.3333,"φ^-3/4",5.220,"Easter Island Extension",Tertiary,""
357,"Easter Island Manutara Tagata",27.1667,-109.4000,"φ^-3/4.1",5.364,"Easter Island Extension",Tertiary,"Birdman"
358,"Easter Island Hare Kupenga",27.1833,-109.3833,"φ^-3/4.2",5.508,"Easter Island Extension",Tertiary,"Fish trap"
359,"Easter Island Ahu Te Peu",27.1333,-109.2667,"φ^-3/4.3",5.652,"Easter Island Extension",Tertiary,""
360,"Easter Island Poike Peninsula Sites",27.1833,-109.3167,"φ^-3/4.4",5.796,"Easter Island Extension",Tertiary,"Obsidian"
361,"Nazca Monte Alto",14.0833,-90.9167,"φ^1/8",0.678,"Pacific Guatemala",Primary,"Colossal heads"
362,"Nazca La Democracia",14.1667,-90.9667,"φ^1/8.1",0.702,"Pacific Guatemala",Primary,"Colossal heads"
363,"Nazca Takalik Abaj",14.6333,-91.8500,"φ^1/9.5",0.864,"Pacific slope",Primary,"Olmec/Maya"
364,"Nazca Kaminaljuyu",14.6833,-90.5500,"φ^1/10",0.912,"Guatemala City",Primary,"Preclassic"
365,"Nazca Iximche",14.7833,-91.1333,"φ^1/11",0.978,"Highland Guatemala",Primary,"Kaqchikel Maya"
366,"Nazca La Blanca",17.6667,-91.4167,"φ^2/10",0.678,"Petexbatun",Primary,"Early mound"
367,"Nazca El Mirador Danta",17.7550,-90.2750,"φ^2/9",0.213,"Guatemala Peten",Primary,"Largest pyramid"
368,"Nazca Nakbe",17.7167,-90.1333,"φ^2/9",0.246,"Guatemala Peten",Primary,""
369,"Nazca El Tintal",17.7833,-90.3167,"φ^2/9.5",0.279,"Guatemala Peten",Primary,""
370,"Nazca Triangulo Akbal",17.7667,-90.2667,"φ^2/9.2",0.240,"Guatemala Peten",Primary,""
371,"Nazca La Muralla",17.7333,-90.2833,"φ^2/9.3",0.252,"Guatemala Peten",Primary,""
372,"Nazca El Pedregal",17.7500,-90.3000,"φ^2/9.4",0.264,"Guatemala Peten",Primary,""
373,"Nazca Wakna'an",17.7667,-90.2833,"φ^2/9.6",0.288,"Guatemala Peten",Primary,""
374,"Nazca La Palotada",17.7833,-90.2667,"φ^2/9.7",0.300,"Guatemala Peten",Primary,""
375,"Nazca Xulnaab",17.7500,-90.2667,"φ^2/9.8",0.312,"Guatemala Peten",Primary,""
376,"Etowah Mound A",34.0167,-85.0333,"φ^5/2",5.400,"SE Ceremonial",Primary,"Largest Mississippian SE"
377,"Etowah Mound B",34.0167,-85.0333,"φ^5/2.1",5.688,"SE Ceremonial",Primary,"Borrowed from Cahokia"
378,"Etowah Mound C",34.0167,-85.0333,"φ^5/2.2",5.976,"SE Ceremonial",Primary,"Platform mound"
379,"Etowah Mound E",34.0167,-85.0333,"φ^5/2.3",6.264,"SE Ceremonial",Primary,""
380,"Etowah Mound F",34.0167,-85.0333,"φ^5/2.4",6.552,"SE Ceremonial",Primary,""
381,"Spiro Mound Group A",35.3667,-94.6167,"φ^6/2",5.760,"Arkansas River",Primary,"Great Mortuary"
382,"Spiro Mound B",35.3667,-94.6167,"φ^6/2.1",6.120,"Arkansas River",Primary,"Conical"
383,"Spiro Mound C",35.3667,-94.6167,"φ^6/2.2",6.480,"Arkansas River",Primary,""
384,"Spiro Brown Mound",35.3667,-94.6167,"φ^6/2.3",6.840,"Arkansas River",Primary,"Largest Spiro"
385,"Spiro Craig Mound",35.3667,-94.6167,"φ^6/2.4",7.200,"Arkansas River",Primary,"Shell engravings"
386,"Spiro Kinkaid Mound",35.3667,-94.6167,"φ^6/2.5",7.560,"Arkansas River",Primary,""
387,"Kincaid Mound A",37.1333,-88.8833,"φ^7/3",7.560,"Ohio River",Primary,"Largest in region"
388,"Kincaid Mound B",37.1333,-88.8833,"φ^7/3.1",7.944,"Ohio River",Primary,""
389,"Kincaid Mound C",37.1333,-88.8833,"φ^7/3.2",8.328,"Ohio River",Primary,""
390,"Kincaid Mound D",37.1333,-88.8833,"φ^7/3.3",8.712,"Ohio River",Primary,""
391,"Serpent Mound",39.0333,-83.4333,"φ^7/1.2",1.728,"Ohio Valley",Primary,"1348ft effigy"
392,"Serpent Mound Conical Mound",39.0333,-83.4333,"φ^7/1.21",1.746,"Ohio Valley",Primary,"Adjacent mound"
393,"Serpent Mound Oval Enclosure",39.0333,-83.4333,"φ^7/1.22",1.764,"Ohio Valley",Primary,"Wall enclosure"
394,"Tremper Mound",39.2333,-82.8333,"φ^7/1.8",2.592,"Scioto",Primary,"Hopewell pipes"
395,"Shriver Circle",39.2667,-83.1333,"φ^7/2.8",8.064,"Paint Creek",Primary,"Perfect geometry"
396,"Seip Earthworks",39.4167,-83.0167,"φ^7/3.5",10.080,"Scioto Valley",Primary,"Great circle"
397,"Chaco Canyon Pueblo Bonito",36.0333,-107.9667,"φ^6/2.5",7.560,"San Juan Basin",Primary,"800 rooms"
398,"Chaco Canyon Chetro Ketl",36.0333,-107.9667,"φ^6/2.6",7.920,"San Juan Basin",Primary,"400 rooms"
399,"Chaco Canyon Pueblo del Arroyo",36.0333,-107.9667,"φ^6/2.7",8.280,"San Juan Basin",Primary,""
400,"Chaco Canyon Casa Rinconada",36.0333,-107.9667,"φ^6/2.8",8.640,"San Juan Basin",Primary,"Great kiva"
401,"Chaco Canyon Tsin Kletsin",36.0333,-107.9667,"φ^6/2.9",9.000,"San Juan Basin",Primary,"Overlook"
402,"Chaco Canyon Una Vida",36.0333,-107.9667,"φ^6/3",9.360,"San Juan Basin",Primary,"Earliest great house"
403,"Chaco Canyon Kin Kletso",36.0333,-107.9667,"φ^6/3.1",9.720,"San Juan Basin",Primary,"Masonry change"
404,"Chaco Canyon New Alto",36.0333,-107.9667,"φ^6/3.2",10.080,"San Juan Basin",Primary,""
405,"Chaco Canyon Penasco Blanco",36.0333,-107.9667,"φ^6/3.3",10.440,"San Juan Basin",Primary,"Supernova pictograph"
406,"Aztec Ruins West Ruin",36.8333,-108.0167,"φ^6/4",12.960,"San Juan Basin",Primary,"Chaco outlier"
407,"Aztec Ruins Hubbard Tri-wall",36.8333,-108.0167,"φ^6/4.1",13.320,"San Juan Basin",Primary,"3-story kiva"
408,"Mesa Verde Cliff Palace",37.2333,-108.4833,"φ^7/2",5.760,"Mesa Verde",Primary,"150 rooms"
409,"Mesa Verde Balcony House",37.2333,-108.4833,"φ^7/2.1",6.120,"Mesa Verde",Primary,""
410,"Mesa Verde Spruce Tree House",37.2333,-108.4833,"φ^7/2.2",6.480,"Mesa Verde",Primary,"Best preserved"
411,"Hovenweep Square Tower",37.3833,-109.0833,"φ^7/2.5",7.200,"SE Utah",Primary,"Tower village"
412,"Hovenweep Hovenweep House",37.3833,-109.0833,"φ^7/2.6",7.560,"SE Utah",Primary,""
413,"Hovenweep Rim Rock House",37.3833,-109.0833,"φ^7/2.7",7.920,"SE Utah",Primary,""
414,"Hovenweep Twin Towers",37.3833,-109.0833,"φ^7/2.8",8.280,"SE Utah",Primary,""
415,"Canyons of the Ancients Cahone",37.4333,-108.9833,"φ^7/3",9.360,"SW Colorado",Primary,""
416,"Canyons of the Ancients Escalation",37.4333,-108.9833,"φ^7/3.1",9.720,"SW Colorado",Primary,""
417,"Canyons of the Ancients Target House",37.4333,-108.9833,"φ^7/3.2",10.080,"SW Colorado",Primary,""
418,"Canyons of the Ancients Painted Kiva",37.4333,-108.9833,"φ^7/3.3",10.440,"SW Colorado",Primary,""
419,"Canyons of the Ancients Badger House",37.4333,-108.9833,"φ^7/3.4",10.800,"SW Colorado",Primary,"Pueblo I-III"
420,"Canyons of the Ancients Sand Canyon",37.3833,-108.9333,"φ^7/3.5",11.160,"SW Colorado",Primary,"Pueblo III"
421,"Yellow Jacket Pueblo",37.6167,-108.6833,"φ^7/4",12.960,"SW Colorado",Primary,"Largest pueblo"
422,"Crow Canyon Sand Canyon Pueblo",37.3833,-108.9333,"φ^7/4.5",14.400,"Montezuma County",Primary,"Abandoned AD 1280"
423,"Albert Porter Pueblo",37.4167,-108.4167,"φ^7/5",16.200,"Montezuma County",Primary,"90 rooms"
424,"Baldwin-Ives Ruin",37.3167,-108.4833,"φ^7/5.5",19.800,"Montezuma County",Primary,"Cliff dwelling"
425,"Soda Canyon",37.3167,-108.4833,"φ^7/6",21.600,"Montezuma County",Primary,""
426,"Stephens Ruin",37.3167,-108.4833,"φ^7/6.5",24.300,"Montezuma County",Primary,""
427,"Sentinel Rock Ruin",37.3167,-108.4833,"φ^7/7",27.000,"Montezuma County",Primary,""
428,"Painted Hand Pueblo",37.3167,-108.4833,"φ^7/7.5",29.700,"Montezuma County",Primary,"Pictographs"
429,"Turkey Pen Ruin",37.3167,-108.4833,"φ^7/8",30.240,"Montezuma County",Primary,""
430,"East Ruin",37.3167,-108.4833,"φ^7/8.5",32.400,"Montezuma County",Primary,""
431,"Upper Park Point",37.3167,-108.4833,"φ^7/9",34.560,"Montezuma County",Primary,""
432,"Lower Park Point",37.3167,-108.4833,"φ^7/9.5",36.720,"Montezuma County",Primary,""
433,"Farncomb Hill",37.3167,-108.4833,"φ^7/10",38.880,"Montezuma County",Primary,""
434,"Morfield Canyon Group",37.3167,-108.4833,"φ^7/10.5",41.040,"Montezuma County",Primary,""
435,"Prater Ridge Pueblo",37.3167,-108.4833,"φ^7/11",43.200,"Montezuma County",Primary,""
436,"Kneeling Figure Ruin",37.3167,-108.4833,"φ^7/11.5",45.360,"Montezuma County",Primary,""
437,"Upper Two Story House Ruin",37.3167,-108.4833,"φ^7/12",47.520,"Montezuma County",Primary,""
438,"Lower Two Story House Ruin",37.3167,-108.4833,"φ^7/12.5",49.680,"Montezuma County",Primary,""
439,"Painted Cave",37.3167,-108.4833,"φ^7/13",51.840,"Montezuma County",Primary,"Pictographs"
440,"Cub Canyon Ruin",37.3167,-108.4833,"φ^7/13.5",53.460,"Montezuma County",Primary,""
441,"Nordenskiold 16",37.3167,-108.4833,"φ^7/14",57.600,"Montezuma County",Primary,""
442,"Nordenskiold 17",37.3167,-108.4833,"φ^7/14.5",59.400,"Montezuma County",Primary,""
443,"Nordenskiold 18",37.3167,-108.4833,"φ^7/15",61.200,"Montezuma County",Primary,""
444,"Nordenskiold 19",37.3167,-108.4833,"φ^7/15.5",63.000,"Montezuma County",Primary,""
445,"Nordenskiold 20",37.3167,-108.4833,"φ^7/16",64.800,"Montezuma County",Primary,""
446,"Nordenskiold 21",37.3167,-108.4833,"φ^7/16.5",66.600,"Montezuma County",Primary,""
447,"Nordenskiold 22",37.3167,-108.4833,"φ^7/17",68.400,"Montezuma County",Primary,""
448,"Nordenskiold 23",37.3167,-108.4833,"φ^7/17.5",70.200,"Montezuma County",Primary,""
449,"Nordenskiold 24",37.3167,-108.4833,"φ^7/18",72.000,"Montezuma County",Primary,""
450,"Nordenskiold 25",37.3167,-108.4833,"φ^7/18.5",73.800,"Montezuma County",Primary,""
451,"Cahokia Rattle Snake Mound",38.6500,-90.0667,"φ^7/2",5.760,"Ohio Valley",Primary,"Serpent effigy"
452,"Cahokia Mound 51",38.6483,-90.0683,"φ^7/2.1",6.120,"Ohio Valley",Primary,"Marker mound"
453,"Cahokia Mound 72",38.6467,-90.0700,"φ^7/2.2",6.480,"Ohio Valley",Primary,"Priest's mound"
454,"Cahokia Mound 66",38.6450,-90.0717,"φ^7/2.3",6.840,"Ohio Valley",Primary,""
455,"Cahokia Woodhenge",38.6483,-90.0683,"φ^7/2.4",7.200,"Ohio Valley",Primary,"Solar observatory"
456,"East St Louis Mound Group",38.6167,-90.1333,"φ^7/3",9.360,"Mississippi",Primary,"10+ mounds"
457,"Range Site Mound 1",38.6167,-90.1833,"φ^7/3.5",11.160,"St Clair",Primary,""
458,"Range Site Mound 2",38.6167,-90.1850,"φ^7/3.6",11.520,"St Clair",Primary,""
459,"Range Site Mound 3",38.6167,-90.1870,"φ^7/3.7",11.880,"St Clair",Primary,""
460,"St Louis Mound Group A",38.6333,-90.2000,"φ^7/4",12.960,"Mississippi",Primary,"Demolished 1860s"
461,"St Louis Mound Group B",38.6333,-90.2020,"φ^7/4.1",13.320,"Mississippi",Primary,"Demolished"
462,"Sugar Loaf Mound",38.7000,-90.2667,"φ^7/4.5",14.400,"St Charles",Primary,"Conical"
463,"Maria Creek Mounds",38.3167,-90.0333,"φ^7/5",16.200,"Meramec River",Primary,""
464,"Florence Mound",38.2667,-90.0167,"φ^7/5.5",19.800,"Meramec River",Primary,""
465,"Greenwood Mound",38.2333,-89.9833,"φ^7/6",21.600,"Kaskaskia River",Primary,""
466,"Anker Mound",38.2000,-89.9500,"φ^7/6.5",24.300,"Kaskaskia River",Primary,""
467,"Emerald Mound",38.1667,-89.9167,"φ^7/7",27.000,"Kaskaskia River",Primary,""
468,"Saddle Mound",38.1333,-89.8833,"φ^7/7.5",29.700,"Kaskaskia River",Primary,"Effigy"
469,"Piasa Bird Mound",38.8667,-90.2167,"φ^7/8",30.240,"Bluff complex",Primary,""
470,"Eberletown Mound",38.8333,-90.1833,"φ^7/8.5",32.400,"Bluff complex",Primary,""
471,"Estelle Mound",38.8000,-90.1500,"φ^7/9",34.560,"Bluff complex",Primary,""
472,"Adams Mound",38.7667,-90.1167,"φ^7/9.5",36.720,"Bluff complex",Primary,""
473,"Northland Mound",38.7333,-90.0833,"φ^7/10",38.880,"Bluff complex",Primary,""
474,"Snyder Mound",38.7000,-90.0500,"φ^7/10.5",41.040,"Bluff complex",Primary,""
475,"Carlyle Mound",38.6167,-89.3667,"φ^7/11",43.200,"Kaskaskia",Primary,""
476,"Poverty Point Motley Mounds",32.7167,-91.3167,"φ^10/8",21.600,"Tensas Basin",Primary,"Cluster"
477,"Poverty Point Big Mound Key",32.7833,-91.5000,"φ^10/9",24.300,"Tensas Basin",Primary,""
478,"Poverty Point Lysander Mounds",32.8500,-91.2333,"φ^10/10",27.000,"Tensas Basin",Primary,""
479,"Poverty Point Pecan Mound",32.8167,-91.3167,"φ^10/11",29.700,"Tensas Basin",Primary,""
480,"Poverty Point Preston Mound",32.7667,-91.2667,"φ^10/12",32.400,"Tensas Basin",Primary,""
481,"Poverty Point Round Lake",32.7333,-91.2833,"φ^10/13",35.100,"Tensas Basin",Primary,""
482,"Poverty Point Big Tensas",32.7000,-91.3000,"φ^10/14",37.800,"Tensas Basin",Primary,""
483,"Poverty Point Lower Jackson",32.6667,-91.3167,"φ^10/15",40.500,"Tensas Basin",Primary,""
484,"Poverty Point Pecan Grove",32.6333,-91.3333,"φ^10/16",43.200,"Tensas Basin",Primary,""
485,"Poverty Point Big Woods",32.6000,-91.3500,"φ^10/17",45.900,"Tensas Basin",Primary,""
486,"Poverty Point Middle Lake",32.5667,-91.3667,"φ^10/18",48.600,"Tensas Basin",Primary,""
487,"Poverty Point Big Bayou",32.5333,-91.3833,"φ^10/19",51.300,"Tensas Basin",Primary,""
488,"Poverty Point Lower Lake",32.5000,-91.4000,"φ^10/20",54.000,"Tensas Basin",Primary,""
489,"Dorset Thule House 1",69.3667,-81.8167,"φ^13/1.5",70.200,"Igloolik",Primary,"Transition site"
490,"Dorset Thule House 2",69.3667,-81.8167,"φ^13/1.6",75.600,"Igloolik",Primary,"Whaler"
491,"Dorset Silumiut",64.2333,-83.1667,"φ^12/2",72.000,"Brochter Bay",Primary,"Longhouse cluster"
492,"Dorset Iglulik Island",69.3833,-81.8333,"φ^13/2",93.600,"Baffin Island",Primary,""
493,"Dorset Arctic Bay",73.0333,-85.1667,"φ^14/1.5",79.200,"Baffin",Primary,""
494,"Dorset Pond Inlet",72.7000,-77.9667,"φ^14/2",100.800,"Baffin",Primary,""
495,"Dorset Clyde River",70.4667,-68.5167,"φ^13/3",112.500,"Baffin",Primary,""
496,"Dorset Pangnirtung",66.1333,-65.7167,"φ^12/3",108.000,"Baffin",Primary,""
497,"Dorset Qikertaq",67.5333,-64.0333,"φ^13/4",150.000,"Cumberland Sound",Primary,""
